account,size_usd_sum,size_usd_mean,size_tokens_sum,size_tokens_mean,closed_pnl_sum,closed_pnl_mean,fee_sum,trades_count,timestamp_ist_min,timestamp_ist_max,activity_days,cluster
0x083384f897ee0f19899168e3b1bec365f52a9012,61697263.97,16159.57673389209,61726.3872,16.16720460974332,1600229.819979,419.1277684596647,7405.312304,1190,2024-06-12 23:15:00,2025-12-04 12:31:00,539,2
0x430f09841d65beb3f27765503d0f850b8bce7713,1645169.53,2932.566007130125,1486793.7888314,2650.2563080773616,328843.259031,587.2201054125001,573.982452,390,2024-05-10 05:30:00,2025-12-02 06:15:00,571,0
0x513b8629fe877bb581bf244e326a047b249c4ff1,420876556.36,34396.58028440667,438268.67053,35.8179691508663,840422.555216,68.68441935403726,76424.64289169,1605,2024-09-12 21:24:00,2025-12-04 23:55:00,448,1
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,3051144.33,2133.6673636363635,2986742.91,2088.631405594406,403011.504159,281.8262266846154,290.01104816,782,2024-12-12 15:53:00,2025-12-04 22:18:00,357,0
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,1677425.72,2979.4417761989343,6627804.49860239,11772.299287037993,67845.619531,120.50731710657195,548.72926461,407,2024-02-12 22:50:00,2025-12-04 20:07:00,660,3
